action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,12438748,[],CHEMBL3068296,Inhibition of acetylcholinesterase in Drosophila melanogaster brain by Ellman's method,B,,,BAO_0000190,BAO_0000019,assay format,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,,,CHEMBL3046127,Bioorg Med Chem Lett,2011,"{'bei': '16.37', 'le': '0.44', 'lle': '1.02', 'sei': '14.14'}",CHEMBL463210,CHLORPYRIFOS,CHEMBL463210,5.74,0,http://www.openphacts.org/units/Nanomolar,1803744,=,1,1,=,,IC50,nM,,1830.0,CHEMBL2242744,Drosophila melanogaster,Acetylcholinesterase,7227,,,IC50,uM,UO_0000065,,1.83
,,12438749,[],CHEMBL3068296,Inhibition of acetylcholinesterase in Drosophila melanogaster brain by Ellman's method,B,,,BAO_0000190,BAO_0000019,assay format,CCOP(=O)(OCC)SCCCCCCCCCCN1C(=O)c2ccccc2C1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL3046127,Bioorg Med Chem Lett,2011,,CHEMBL2252723,,CHEMBL2252723,,0,http://www.openphacts.org/units/Nanomolar,1803743,=,1,1,=,,IC50,nM,,112720.0,CHEMBL2242744,Drosophila melanogaster,Acetylcholinesterase,7227,,,IC50,uM,UO_0000065,,112.72
,,12438750,[],CHEMBL3068296,Inhibition of acetylcholinesterase in Drosophila melanogaster brain by Ellman's method,B,,,BAO_0000190,BAO_0000019,assay format,CCOP(=O)(OCC)SCCCCCCCCCN1C(=O)c2ccccc2C1=O,,,CHEMBL3046127,Bioorg Med Chem Lett,2011,"{'bei': '10.02', 'le': '0.21', 'lle': '-1.50', 'sei': '6.07'}",CHEMBL2252722,,CHEMBL2252722,4.43,0,http://www.openphacts.org/units/Nanomolar,1803742,=,1,1,=,,IC50,nM,,37500.0,CHEMBL2242744,Drosophila melanogaster,Acetylcholinesterase,7227,,,IC50,uM,UO_0000065,,37.5
,,12438751,[],CHEMBL3068296,Inhibition of acetylcholinesterase in Drosophila melanogaster brain by Ellman's method,B,,,BAO_0000190,BAO_0000019,assay format,CCOP(=O)(OCC)SCCCCCCCCN1C(=O)c2ccccc2C1=O,,,CHEMBL3046127,Bioorg Med Chem Lett,2011,"{'bei': '12.51', 'le': '0.26', 'lle': '-0.19', 'sei': '7.33'}",CHEMBL2252721,,CHEMBL2252721,5.35,0,http://www.openphacts.org/units/Nanomolar,1803741,=,1,1,=,,IC50,nM,,4500.0,CHEMBL2242744,Drosophila melanogaster,Acetylcholinesterase,7227,,,IC50,uM,UO_0000065,,4.5
,,12438752,[],CHEMBL3068296,Inhibition of acetylcholinesterase in Drosophila melanogaster brain by Ellman's method,B,,,BAO_0000190,BAO_0000019,assay format,CCOP(=O)(OCC)SCCCCCCCN1C(=O)c2ccccc2C1=O,,,CHEMBL3046127,Bioorg Med Chem Lett,2011,"{'bei': '13.87', 'le': '0.29', 'lle': '0.59', 'sei': '7.87'}",CHEMBL2252851,,CHEMBL2252851,5.74,0,http://www.openphacts.org/units/Nanomolar,1803916,=,1,1,=,,IC50,nM,,1840.0,CHEMBL2242744,Drosophila melanogaster,Acetylcholinesterase,7227,,,IC50,uM,UO_0000065,,1.84
,,12438753,[],CHEMBL3068296,Inhibition of acetylcholinesterase in Drosophila melanogaster brain by Ellman's method,B,,,BAO_0000190,BAO_0000019,assay format,CCOP(=O)(OCC)SCCCCCCN1C(=O)c2ccccc2C1=O,,,CHEMBL3046127,Bioorg Med Chem Lett,2011,"{'bei': '13.57', 'le': '0.28', 'lle': '0.66', 'sei': '7.43'}",CHEMBL2252850,,CHEMBL2252850,5.42,0,http://www.openphacts.org/units/Nanomolar,1803915,=,1,1,=,,IC50,nM,,3810.0,CHEMBL2242744,Drosophila melanogaster,Acetylcholinesterase,7227,,,IC50,uM,UO_0000065,,3.81
,,12438754,[],CHEMBL3068296,Inhibition of acetylcholinesterase in Drosophila melanogaster brain by Ellman's method,B,,,BAO_0000190,BAO_0000019,assay format,CCOP(=O)(OCC)SCCCCCN1C(=O)c2ccccc2C1=O,,,CHEMBL3046127,Bioorg Med Chem Lett,2011,"{'bei': '12.74', 'le': '0.27', 'lle': '0.54', 'sei': '6.73'}",CHEMBL2252849,,CHEMBL2252849,4.91,0,http://www.openphacts.org/units/Nanomolar,1803914,=,1,1,=,,IC50,nM,,12340.0,CHEMBL2242744,Drosophila melanogaster,Acetylcholinesterase,7227,,,IC50,uM,UO_0000065,,12.34
,,12438755,[],CHEMBL3068296,Inhibition of acetylcholinesterase in Drosophila melanogaster brain by Ellman's method,B,,,BAO_0000190,BAO_0000019,assay format,CCOP(=O)(OCC)SCCCCN1C(=O)c2ccccc2C1=O,,,CHEMBL3046127,Bioorg Med Chem Lett,2011,"{'bei': '13.47', 'le': '0.28', 'lle': '1.02', 'sei': '6.86'}",CHEMBL2252848,,CHEMBL2252848,5.00,0,http://www.openphacts.org/units/Nanomolar,1803913,=,1,1,=,,IC50,nM,,9920.0,CHEMBL2242744,Drosophila melanogaster,Acetylcholinesterase,7227,,,IC50,uM,UO_0000065,,9.92
,,12438756,[],CHEMBL3068296,Inhibition of acetylcholinesterase in Drosophila melanogaster brain by Ellman's method,B,,,BAO_0000190,BAO_0000019,assay format,CCOP(=O)(OCC)SCCCN1C(=O)c2ccccc2C1=O,,,CHEMBL3046127,Bioorg Med Chem Lett,2011,"{'bei': '14.22', 'le': '0.30', 'lle': '1.49', 'sei': '6.97'}",CHEMBL2252847,,CHEMBL2252847,5.08,0,http://www.openphacts.org/units/Nanomolar,1803912,=,1,1,=,,IC50,nM,,8290.0,CHEMBL2242744,Drosophila melanogaster,Acetylcholinesterase,7227,,,IC50,uM,UO_0000065,,8.29
,,12438757,[],CHEMBL3068296,Inhibition of acetylcholinesterase in Drosophila melanogaster brain by Ellman's method,B,,,BAO_0000190,BAO_0000019,assay format,CCOP(=O)(OCC)SCCCCCCCCCCSP(=O)(OCC)OCC,,,CHEMBL3046127,Bioorg Med Chem Lett,2011,"{'bei': '12.02', 'le': '0.28', 'lle': '-2.19', 'sei': '8.10'}",CHEMBL2252846,,CHEMBL2252846,5.75,0,http://www.openphacts.org/units/Nanomolar,1803911,=,1,1,=,,IC50,nM,,1760.0,CHEMBL2242744,Drosophila melanogaster,Acetylcholinesterase,7227,,,IC50,uM,UO_0000065,,1.76
